G 172-30,0,57,2.69194,45,5,9.78853,42.853182,M3.0V
HD 211970,22,22,16.20616,-54,33,38.20437,42.825386,K7Vk:
BD-11 2741,9,51,9.63999,-12,19,47.47915,42.822631,dM0.5
RGO 7809,0,56,41.19374,-29,44,18.8952,42.802625,
G 50-12,7,58,9.09401,7,17,1.45381,42.757398,M5V
Ross 15,1,59,23.5137,58,31,16.10434,42.751458,M4Ve
WISE J032547.72+083118.2,3,25,47.64987,8,31,18.6369,42.746527,T7
L 194-11,12,29,34.54216,-55,59,37.04964,42.716911,M4V
G 253-6,7,55,53.92853,83,23,4.94299,42.698736,M5.0V
LP 12-382,0,30,48.50621,77,42,33.597,42.690576,
LP 206-11,7,11,11.51854,43,29,56.66532,42.690576,M5.5V
UPM J1951-3100,19,51,40.39457,-31,0,22.19322,42.670525,
LSPM J1524+2925,15,24,24.7593,29,25,31.54454,42.654677,M7.5V
2MASS J16291840+0335371,16,29,18.40896,3,35,37.104,42.634771,T2
WISE J181329.40+283533.3,18,13,29.51334,28,35,36.8572,42.579112,T8
LP 653-13,3,35,38.61427,-8,29,22.79619,42.571832,M5.5V
G 166-49,14,51,10.39625,31,6,40.32045,42.555279,M4.0Ve
WD 1703-267,17,6,41.36051,-26,43,34.71198,42.548784,DAH
HD 27274,4,15,56.90154,-53,18,35.30671,42.543678,K4.5Vk:
CWISE J004143.77-401929.9,0,41,42.02964,-40,19,14.0058,42.523598,T8pec
HD 172051,18,38,53.40106,-21,3,6.75099,42.501156,G6V
G 65-49,14,24,55.98424,8,53,15.45069,42.477853,M3V
2MASS J12215175-3136054,12,21,51.7572,-31,36,5.454,42.468229,T6.5
G 234-37,8,35,49.04056,68,4,9.12818,42.392497,M3.0V
BD+08 4887,22,33,2.22644,9,22,40.71945,42.338897,M0V
LP 658-44,5,42,12.69675,-5,27,55.56132,42.311874,M5.5V
Ross 42,5,32,14.65651,9,49,14.92756,42.283295,M4Ve
* i Boo A,15,3,47.22964,47,39,14.31806,42.223028,F5V
* 36 UMa,10,30,37.57927,55,58,49.93969,42.221661,F8V
L 601-78,7,54,54.78014,-29,20,56.10408,42.220841,M4V
LP 795-15,12,25,32.02791,-15,59,41.81663,42.205380,M5.5
HD 40307,5,54,4.2405,-60,1,24.49301,42.179290,K2.5V
HD 36003,5,28,26.09554,-3,29,58.39893,42.166312,K5V
G 138-38,16,32,33.16857,8,51,22.6727,42.164676,DA8
LP 791-3,10,44,29.19611,-18,38,7.18118,42.142067,
